,fundname,isincode
4260,米国バリュー・ストラテジー・ファンド　Ａコース,JP90C000E6Q9
4261,グローバル・ヘルスケア＆バイオ・ファンド（為替ヘッジあり）（愛称：健次（ヘッジあり））,JP90C000E6V9
4262,＜購入・換金手数料なし＞ニッセイ日経平均インデックスファンド,JP90C000E6Z0
4263,ニッセイＡＩ関連株式ファンド（為替ヘッジあり）,JP90C000E701
4264,ニッセイＡＩ関連株式ファンド（為替ヘッジなし）,JP90C000E719
4265,のむラップ・ファンド（やや積極型）,JP90C000E7E3
4266,のむラップ・ファンド（やや保守型）,JP90C000E7F0
4267,ひとくふう先進国リートファンド,JP90C000E7M6
4268,ＰａｙＰａｙ投信ＡＩプラス,JP90C000E8C5
4269,世界中小型株式ファンド,JP90C000E8M4
4270,フィデリティ世界医療機器関連株ファンド（為替ヘッジなし）,JP90C000E8N2
4271,フィデリティ世界医療機器関連株ファンド（為替ヘッジあり）,JP90C000E8P7
4272,外貨建て日系債券ファンド１７−０１（為替ヘッジあり）,JP90C000E8W3
4273,外貨建て日系債券ファンド１７−０１（為替ヘッジなし）,JP90C000E8X1
4274,楽天日本新興市場株ダブル・ブル,JP90C000E909
4275,スマート・プロテクター９０（限定追加型）２０１６−１２,JP90C000E933
4276,ベトナム・ロータス・ファンド,JP90C000E966
4277,日本厳選中小型株ファンド,JP90C000E9L4
4278,ブラックロック・ＢＥＳＴ（為替ヘッジあり／年２回決算型）,JP90C000E9P5
4279,スイス・グローバル・リーダー・ファンド（為替ヘッジあり）,JP90C000EA21
4280,次世代米国代表株ファンド（為替ヘッジあり）（愛称：メジャー・リーダー（ヘッジあり））,JP90C000EA47
4281,ＳＢＩスリランカ短期国債ファンド（毎月決算型）,JP90C000EA54
4282,ＳＢＩスリランカ短期国債ファンド（年２回決算型）,JP90C000EA62
4283,ニッセイ米国不動産投資法人債ファンド（毎月決算型・為替ヘッジあり）,JP90C000EA96
4284,ニッセイ米国不動産投資法人債ファンド（毎月決算型・為替ヘッジなし）,JP90C000EAA6
4285,ニッセイ米国不動産投資法人債ファンド（年２回決算型・為替ヘッジあり）,JP90C000EAB4
4286,ニッセイ米国不動産投資法人債ファンド（年２回決算型・為替ヘッジなし）,JP90C000EAC2
4287,グローバル・フィンテック株式ファンド,JP90C000EAS8
4288,野村インド債券ファンド（年２回決算型）,JP90C000EBK3
4289,債券コア・セレクション,JP90C000EBN7
4290,ワールドアセットバランス（基本コース）,JP90C000EBV0
4291,ワールドアセットバランス（リスク抑制コース）,JP90C000EBW8
4292,ノーロード明治安田円資産バランス,JP90C000EBY4
4293,ノーロード明治安田社債アクティブ,JP90C000EC03
4294,ノーロード明治安田日本株式アクティブ,JP90C000EC29
4295,ノーロード明治安田Ｊ−ＲＥＩＴアクティブ,JP90C000EC37
4296,ノーロード明治安田５資産バランス（安定成長コース）,JP90C000EC60
4297,ノーロード明治安田５資産バランス（安定コース）,JP90C000EC78
4298,ノーロード明治安田５資産バランス（積極コース）,JP90C000EC86
4299,ＨＳＢＣ　インド債券オープン（毎月決算型）,JP90C000ECC8
4300,ダイワ日本企業外債ファンドＳ（為替ヘッジあり）２０１６−１２,JP90C000ECF1
4301,ダイワ日本企業外債ファンドＳ（部分為替ヘッジあり）２０１６−１２,JP90C000ECH7
4302,ダイワ米国リート・ファンド（毎月分配型）為替ヘッジあり,JP90C000ED36
4303,ＪＰＭ日本ＣＢファンド（米ドル投資型）,JP90C000EEA8
4304,ＪＰＭ日本ＣＢファンド,JP90C000EEB6
4305,ベトナム株ファンド,JP90C000EED2
4306,ワールド・リート・オープン（毎月決算型）為替ヘッジあり,JP90C000EEG5
4307,ＵＳ株主還元ファンド（為替ヘッジあり・年４回決算型）,JP90C000EES0
4308,ＵＳ株主還元ファンド（為替ヘッジあり・年１回決算型）,JP90C000EET8
4309,三菱ＵＦＪ　先進国高金利債券ファンド（年１回決算型）（愛称：グローバル・トップ年１）,JP90C000EEV4
4310,ビッグデータ活用　日本中小型株式ファンド,JP90C000EEW2
4311,ダイワ・グローバル金融機関（Ｇ−ＳＩＢｓ）債券ファンド（為替ヘッジあり）２０１７−０１,JP90C000EEX0
4312,ダイワ・グローバル金融機関（Ｇ−ＳＩＢｓ）債券ファンド（部分為替ヘッジあり）２０１７−０１,JP90C000EEY8
4313,スマート・クオリティ・オープン・ゴールド（安定型）（愛称：スマラップ・ゴールド）,JP90C000EF00
4314,スマート・クオリティ・オープン・ゴールド（安定成長型）（愛称：スマラップ・ゴールド）,JP90C000EF18
4315,スマート・クオリティ・オープン・ゴールド（成長型）（愛称：スマラップ・ゴールド）,JP90C000EF26
4316,ピクテ・バイオ医薬品ファンド（１年決算型）為替ヘッジなしコース,JP90C000EF34
4317,ヘッジファンドＳＭＴＢセレクション（ＳＭＡ専用）,JP90C000EFD9
4318,日本成長テーマフォーカス,JP90C000EFG2
4319,ＵＳバイオ・ベンチャー（限定追加型）,JP90C000EFR9
4320,ステート・ストリート米国社債インデックス・オープン（為替ヘッジあり）,JP90C000EFV1
4321,外貨建て日系債券ファンド１７−０３（為替ヘッジあり）,JP90C000EFX7
4322,インデックス・ブレンド（タイプＶ）,JP90C000EFZ2
4323,インデックス・ブレンド（タイプＩＶ）,JP90C000EG09
4324,インデックス・ブレンド（タイプＩＩＩ）,JP90C000EG17
4325,インデックス・ブレンド（タイプＩＩ）,JP90C000EG25
4326,インデックス・ブレンド（タイプＩ）,JP90C000EG33
4327,野村インデックスファンド・米国株式配当貴族・為替ヘッジ型,JP90C000EG41
4328,野村インデックスファンド・米国株式配当貴族,JP90C000EG58
4329,外貨建て日系債券ファンド１７−０３（為替ヘッジなし）,JP90C000EG66
4330,ダイワファンドラップオンライン　外国株式インデックス（為替ヘッジあり）,JP90C000EG74
4331,ダイワファンドラップオンライン　外国株式インデックス　エマージングプラス（為替ヘッジなし）,JP90C000EG82
4332,ダイワファンドラップオンライン　外国債券インデックス（為替ヘッジあり）,JP90C000EG90
4333,ダイワファンドラップオンライン　外国債券インデックス　エマージングプラス（為替ヘッジなし）,JP90C000EGA3
4334,ダイワファンドラップオンライン　外国ＲＥＩＴインデックス（為替ヘッジあり）,JP90C000EGB1
4335,ダイワファンドラップオンライン　外国ＲＥＩＴインデックス（為替ヘッジなし）,JP90C000EGC9
4336,ダイワファンドラップオンライン　ＴＯＰＩＸインデックス,JP90C000EGD7
4337,ダイワファンドラップオンライン　日本債券インデックス,JP90C000EGE5
4338,ダイワファンドラップオンライン　Ｊ−ＲＥＩＴインデックス,JP90C000EGF2
4339,オーストラリア・アジアＲＥＩＴファンド　Ａコース（為替ヘッジなし・毎月決算型）,JP90C000EGL0
4340,オーストラリア・アジアＲＥＩＴファンド　Ｂコース（為替ヘッジあり・毎月決算型）,JP90C000EGM8
4341,オーストラリア・アジアＲＥＩＴファンド　Ｃコース（為替ヘッジなし・年２回決算型）,JP90C000EGN6
4342,オーストラリア・アジアＲＥＩＴファンド　Ｄコース（為替ヘッジあり・年２回決算型）,JP90C000EGP1
4343,ＣＡＭ　ＥＳＧ日本株ファンド,JP90C000EGQ9
4344,世界コーポレート・ハイブリッド証券２０１７−０３,JP90C000EGR7
4345,米国インフラ・ビルダー株式ファンド（為替ヘッジあり）,JP90C000EGS5
4346,米国インフラ・ビルダー株式ファンド（為替ヘッジなし）,JP90C000EGT3
4347,グローバル・コーポレート・ハイブリッド証券ファンド（為替ヘッジあり）２０１７−０２（限定追加型）,JP90C000EGU1
4348,グローバル・ロボティクス株式ファンド（為替ヘッジあり・１年決算型）,JP90C000EGX5
4349,グローバル・ロボティクス株式ファンド（為替ヘッジあり・年２回決算型）,JP90C000EGY3
4350,あおぞら・新グローバル分散ファンド（限定追加型）２０１７−０２,JP90C000EH08
4351,時間分散型バランスファンド（成長指向）２０１７−０２,JP90C000EH73
4352,時間分散型バランスファンド（安定指向）２０１７−０２,JP90C000EH81
4353,グローバルＡＩファンド（為替ヘッジあり）,JP90C000EHC7
4354,ＪＰＭグローバル高利回りＣＢファンド（限定追加型・早期償還条項付）２０１７−０３,JP90C000EHH6
4355,新・ミューズニッチ米国ＢＤＣファンド（為替ヘッジなし・毎月分配型）,JP90C000EHJ2
4356,新・ミューズニッチ米国ＢＤＣファンド（為替ヘッジあり・毎月分配型）,JP90C000EHK0
4357,新・ミューズニッチ米国ＢＤＣファンド（為替ヘッジなし・年２回決算型）,JP90C000EHL8
4358,新・ミューズニッチ米国ＢＤＣファンド（為替ヘッジあり・年２回決算型）,JP90C000EHM6
4359,オーストラリアリートファンド（毎月分配型）,JP90C000EHU9
4360,ＡＩ日本株式オープン（絶対収益追求型）（愛称：日本ＡＩ）,JP90C000EHZ8
4361,日本好配当リバランスファンド１７−０２（繰上償還条項付）,JP90C000EJ71
4362,ダイワ高格付日本企業外債ファンド（為替ヘッジあり）２０１７−０２,JP90C000EJJ8
4363,ダイワ高格付日本企業外債ファンド（部分為替ヘッジあり）２０１７−０２,JP90C000EJL4
4364,米国インフラ関連株式ファンド＜為替ヘッジあり＞,JP90C000EJR1
4365,米国インフラ関連株式ファンド＜為替ヘッジなし＞,JP90C000EJS9
4366,いちよし日本好配当株＆Ｊリートファンド　資産成長型,JP90C000EJX9
4367,いちよし日本好配当株＆Ｊリートファンド　年４回決算型,JP90C000EJY7
4368,ＧＳグローバル・ビッグデータ投資戦略　Ａコース（為替ヘッジあり）,JP90C000EK52
4369,ＧＳグローバル・ビッグデータ投資戦略　Ｂコース（為替ヘッジなし）,JP90C000EK60
4370,野村グローバルＡＩ関連株式ファンド　Ｂコース,JP90C000EK94
4371,野村グローバルＡＩ関連株式ファンド　Ａコース,JP90C000EKA5
4372,東京海上・米国政策関連株式ファンド（為替ヘッジなし）,JP90C000EKL2
4373,東京海上・米国政策関連株式ファンド（為替ヘッジあり）,JP90C000EKM0
4374,先進国好配当株式ファンド（３ヵ月決算型）為替ヘッジあり,JP90C000EKR9
4375,先進国好配当株式ファンド（年２回決算型）為替ヘッジあり,JP90C000EKS7
4376,米国短期社債戦略ファンド２０１７−０３（為替ヘッジあり）,JP90C000EKZ2
4377,米ドル高利回り社債ファンド２０１７−０３（為替ヘッジあり）,JP90C000EL02
4378,米ドル高利回り社債ファンド２０１７−０３（為替ヘッジなし）,JP90C000EL10
4379,ＮＭＳ　米国地方債ファンド　為替ヘッジあり（ＳＭＡ専用）,JP90C000EL85
4380,世界物価連動債ファンド　為替ヘッジあり（ＳＭＡ専用）,JP90C000ELG0
4381,ブレンドシックス,JP90C000ELK2
4382,ダイワＴＯＰＩＸインデックス（ダイワＳＭＡ専用）,JP90C000ELL0
4383,ダイワ日経２２５インデックス（ダイワＳＭＡ専用）,JP90C000ELM8
4384,ダイワ日本債券インデックス（ダイワＳＭＡ専用）,JP90C000ELN6
4385,ダイワＪ−ＲＥＩＴインデックス（ダイワＳＭＡ専用）,JP90C000ELP1
4386,ダイワ外国株式インデックス（為替ヘッジあり）（ダイワＳＭＡ専用）,JP90C000ELR7
4387,ダイワ外国株式インデックス（為替ヘッジなし）（ダイワＳＭＡ専用）,JP90C000ELS5
4388,ダイワ外国債券インデックス（為替ヘッジあり）（ダイワＳＭＡ専用）,JP90C000ELT3
4389,ダイワ外国債券インデックス（為替ヘッジなし）（ダイワＳＭＡ専用）,JP90C000ELU1
4390,ダイワ外国ＲＥＩＴインデックス（為替ヘッジあり）（ダイワＳＭＡ専用）,JP90C000ELV9
4391,ダイワ外国ＲＥＩＴインデックス（為替ヘッジなし）（ダイワＳＭＡ専用）,JP90C000ELW7
4392,ＵＳインフラ株式ファンド　　為替ヘッジあり（年２回決算型）,JP90C000ELX5
4393,ＵＳインフラ株式ファンド　　為替ヘッジなし（年２回決算型）,JP90C000ELY3
4394,グローバル・スマート・イノベーション・オープン（年２回決算型）為替ヘッジあり（愛称：ｉシフト（ヘッジあり））,JP90C000EM43
4395,グローバル・スマート・イノベーション・オープン（年１回決算型）為替ヘッジあり（愛称：ｉシフト（ヘッジあり））,JP90C000EM50
4396,世界リアルアセット・バランス（毎月決算型）,JP90C000EMD5
4397,世界リアルアセット・バランス（資産成長型）,JP90C000EME3
4398,ＴＨＥＯグロース・ファンド（世界の株式中心）,JP90C000EMG8
4399,ＴＨＥＯインカム・ファンド（世界の債券中心）,JP90C000EMH6
4400,ＴＨＥＯリアルアセット・ファンド（世界の実物資産中心）,JP90C000EMJ2
4401,日本株＆Ｊリート　好配当フォーカスファンド（年２回決算型）,JP90C000EMP9
4402,ＬＭ・オーストラリア高配当株ファンド（為替ヘッジあり）（毎月分配型）,JP90C000EMR5
4403,ＬＭ・オーストラリア高配当株ファンド（為替ヘッジあり）（年２回決算型）,JP90C000EMU9
4404,ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（ＴＯＰＩＸ）,JP90C000ENA9
4405,ｅＭＡＸＩＳ　Ｓｌｉｍ　国内債券インデックス,JP90C000ENB7
4406,ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国株式インデックス,JP90C000ENC5
4407,ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国債券インデックス,JP90C000END3
4408,ダイワ円債セレクト　日本国債コース,JP90C000ENS1
4409,ダイワ円債セレクト　超長期国債コース,JP90C000ENT9
4410,ダイワ円債セレクト　超長期国債＆住宅金融支援機構債コース,JP90C000ENW3
4411,ダイワ円債セレクト　マネーコース,JP90C000ENX1
4412,ニッセイＪＰＸ日経中小型株アクティブファンド,JP90C000EP32
4413,中小型成長株ファンド−ネクストジャパン−年４回決算・分配型−（適格機関投資家専用）（愛称：ｊｎｅｘｔ−分配型）,JP90C000EP99
4414,あおぞら・新グローバル分散ファンド（限定追加型）２０１７−０４,JP90C000EQ07
4415,ＧＳビッグデータ・ストラテジー（米国小型株）Ａコース（為替ヘッジあり）,JP90C000EQB0
4416,ＧＳビッグデータ・ストラテジー（米国小型株）Ｂコース（為替ヘッジなし）,JP90C000EQG9
4417,国内株式セレクション（ラップ向け）,JP90C000EQT2
4418,国内債券セレクション（ラップ向け）,JP90C000EQU0
4419,オルタナティブ資産セレクション（ラップ向け）,JP90C000EQV8
4420,ブラックロックＬｉｆｅＰａｔｈファンド２０５５,JP90C000EQZ9
4421,たわらノーロード　ＴＯＰＩＸ,JP90C000ERE2
4422,たわらノーロード　先進国リート＜為替ヘッジあり＞,JP90C000ERF9
4423,たわらノーロード　ＮＹダウ,JP90C000ERG7
4424,海外株式セレクション（ラップ向け）,JP90C000ES54
4425,海外債券セレクション（ラップ向け）,JP90C000ES62
4426,ヘッジファンドセレクション（ラップ向け）,JP90C000ES70
4427,シュローダーＹＥＮターゲット（１年決算型）,JP90C000ESQ4
4428,シュローダーＹＥＮターゲット（年２回決算型）,JP90C000ESR2
4429,ＳＢＩ日本・アジアフィンテック株式ファンド,JP90C000ESS0
4430,スマート・プロテクター９０オープン,JP90C000EST8
4431,イーストスプリング米国小型厳選バリュー株ファンドＡコース（為替ヘッジあり）,JP90C000ETE8
4432,イーストスプリング米国小型厳選バリュー株ファンドＢコース（為替ヘッジなし）,JP90C000ETF5
4433,ＰａｙＰａｙ投信バランスライト,JP90C000ETQ2
4434,ダイワ日本企業外債ファンドＳ（為替ヘッジあり）２０１７−０４,JP90C000ETX8
4435,ダイワ日本企業外債ファンドＳ（部分為替ヘッジあり）２０１７−０４,JP90C000ETY6
4436,グローバル自動運転関連株式ファンド（為替ヘッジあり）,JP90C000EU01
4437,グローバル自動運転関連株式ファンド（為替ヘッジなし）,JP90C000EU19
4438,ＮＹダウ・インデックスファンド（為替ヘッジあり）,JP90C000EUQ0
4439,ＮＹダウ・インデックスファンド（為替ヘッジなし）,JP90C000EUR8
4440,ニッセイ・ジャパンＡＩ関連株式ファンド,JP90C000EUV0
4441,ｉＴｒｕｓｔ　新興国株式,JP90C000EUY4
4442,ＹＭアセット・優良米国株ファンド（愛称：トリプル維新（プレミア合衆国））,JP90C000EV18
4443,ダイワ・グローバルＩｏＴ関連株ファンド　−ＡＩ新時代−　（為替ヘッジあり）,JP90C000EV26
4444,ダイワ・グローバルＩｏＴ関連株ファンド　−ＡＩ新時代−　（為替ヘッジなし）,JP90C000EV34
4445,ダブルライン・シラー・ケープ米国株式プラス＜為替ヘッジあり＞,JP90C000EVC8
4446,ダブルライン・シラー・ケープ米国株式プラス＜為替ヘッジなし＞,JP90C000EVD6
4447,ブラックロック・米国小型株式　ビッグデータ戦略ファンド（為替ヘッジなし）,JP90C000EVK1
4448,ブラックロックｉインカム,JP90C000EVL9
4449,ブラックロック・米国小型株式　ビッグデータ戦略ファンド（為替ヘッジあり）,JP90C000EVM7
4450,アムンディ・ストラテジック・インカムファンド（為替ヘッジあり／毎月決算型）,JP90C000EVW6
4451,アムンディ・ストラテジック・インカムファンド（為替ヘッジあり／年２回決算型）,JP90C000EVX4
4452,アムンディ・ストラテジック・インカムファンド（為替ヘッジなし／毎月決算型）,JP90C000EVY2
4453,アムンディ・ストラテジック・インカムファンド（為替ヘッジなし／年２回決算型）,JP90C000EVZ9
4454,トラノコ・ファンド１,JP90C000EW90
4455,トラノコ・ファンド２,JP90C000EWA0
4456,トラノコ・ファンド３,JP90C000EWB8
4457,米国バンクローンファンド＜為替ヘッジあり＞（資産成長型）（愛称：ＵＳストリーム）,JP90C000EWL7
4458,米国バンクローンファンド＜為替ヘッジなし＞（資産成長型）（愛称：ＵＳストリーム）,JP90C000EWM5
4459,ｅＭＡＸＩＳ　Ｓｌｉｍ　バランス（８資産均等型）,JP90C000EWV6
4460,ＵＢＳオーストラリア債券オープン（年１回決算型）,JP90C000EWY0
4461,キャピタル・ニューワールド・ファンドＡコース（米ドル売り円買い）,JP90C000EXH3
4462,キャピタル・ニューワールド・ファンドＢコース（為替ヘッジなし）,JP90C000EXK7
4463,米国中小型株オープン（３ヵ月決算型）,JP90C000EXN1
4464,ＬＭ・米国連続増配株ファンド（年２回決算型）,JP90C000EXY8
4465,ＬＭ・米国連続増配株ファンド（３カ月決算型）,JP90C000EXZ5
4466,スパークス・新・国際優良アジア株ファンド,JP90C000EY64
4467,グローイング・フロンティア株式ファンド,JP90C000EYM1
4468,ピムコ　ショートターム・インカム・ファンド（為替リスク軽減型）,JP90C000EYN9
4469,ピムコ　ショートターム・インカム・ファンド（為替ヘッジなし）,JP90C000EYP4
4470,アムンディ・グローバル・ストラテジー株式ファンド　年２回決算型（為替ヘッジあり）,JP90C000EYU4
4471,アムンディ・グローバル・ストラテジー株式ファンド　毎月決算型（為替ヘッジあり）,JP90C000EYV2
4472,ＳＭＴ　ＪＰＸ日経中小型株インデックス・オープン,JP90C000EZ30
4473,げんせん投信,JP90C000EZH8
4474,ＪＰＭ新興国小型株式ファンド,JP90C000EZP1
4475,ＢＮＹメロン・日本中小型株式ダイナミック戦略ファンド,JP90C000EZQ9
4476,野村未来トレンド発見ファンド　Ａコース（為替ヘッジあり）,JP90C000EZV9
4477,ＵＢＳ公益・金融社債ファンド（年１回決算型・為替ヘッジなし）,JP90C000F070
4478,米国好配当リバランスオープン（年２回決算型）（為替ヘッジあり）,JP90C000F0D9
4479,米国好配当リバランスオープン（年２回決算型）（為替ヘッジなし）,JP90C000F0E7
4480,インデックスファンドＪＰＸ日経中小型株,JP90C000F0H0
4481,コムジェスト日本株式ファンドＤ（適格機関投資家限定）,JP90C000F0W9
4482,ｅＭＡＸＩＳ　ＪＰＸ日経中小型インデックス,JP90C000F179
4483,東京海上・グローバルペット関連株式ファンド（為替ヘッジなし）（愛称：ぽちたま）,JP90C000F195
4484,東京海上・グローバルペット関連株式ファンド（為替ヘッジあり）（愛称：ぽちたま）,JP90C000F1A3
4485,ＧＳビッグデータ・ストラテジー（日本株）,JP90C000F1R7
4486,フィデリティ・米国優良株・ファンド（為替ヘッジあり）,JP90C000F1T3
4487,インド債券オープン（年１回決算型）,JP90C000F1W7
4488,ＳＭＢＣ・アムンディ　プロテクト＆スイッチファンド,JP90C000F211
4489,ニッセイ豪州ハイ・インカム株式ファンド（資産成長型）,JP90C000F237
4490,カレラ　米国小型株式アクティブファンド,JP90C000F2B9
4491,アセアン・オーナーズ・ファンド（為替ヘッジなし）,JP90C000F2H6
4492,農林中金＜パートナーズ＞長期厳選投資　おおぶね,JP90C000F2K0
4493,米国優先リート１７−０７（為替ヘッジあり）,JP90C000F369
4494,ブラックロックＬｉｆｅＰａｔｈファンド２０４５,JP90C000F393
4495,ブラックロックＬｉｆｅＰａｔｈファンド２０３５,JP90C000F3A9
4496,ＤＣニッセイワールドセレクトファンド（安定型）,JP90C000F3F8
4497,東京海上・世界資産バランスファンド（毎月決算型）（愛称：円奏会ワールド）,JP90C000F3G6
4498,東京海上・世界資産バランスファンド（年１回決算型）（愛称：円奏会ワールド（年１回決算型））,JP90C000F3H4
4499,投資のソムリエ（ターゲット・イヤー２０４５）,JP90C000F3R3
4500,投資のソムリエ（ターゲット・イヤー２０５５）,JP90C000F3S1
4501,四国アライアンス　地域創生ファンド（年１回決算型）,JP90C000F3Z6
4502,四国アライアンス　地域創生ファンド（年２回決算型）,JP90C000F401
4503,ブラックロック・スタイル・アドバンテージ・ポートフォリオ（円／年１回決算コース）,JP90C000F4C3
4504,世界好利回りＣＢファンド２０１７−０７（為替ヘッジあり）（限定追加型）,JP90C000F4F6
4505,世界好利回りＣＢファンド２０１７−０７（為替ヘッジなし）（限定追加型）,JP90C000F4G4
4506,ＤＣニッセイターゲットデートファンド２０４５,JP90C000F4P5
4507,ＤＣニッセイターゲットデートファンド２０３５,JP90C000F4Q3
4508,ＤＣニッセイターゲットデートファンド２０２５,JP90C000F4R1
4509,日本中小型株ファンド,JP90C000F526
4510,ピクテ中短期債券ファンド（毎月決算型）,JP90C000F534
4511,ピクテ中短期債券ファンド（１年決算型）,JP90C000F542
4512,ＪＰＭグローバル高利回りＣＢファンド（限定追加型・早期償還条項付）２０１７−０８,JP90C000F559
4513,ピムコ　短期戦略プラス・オープン（為替リスク軽減型）,JP90C000F5C0
4514,ピムコ　短期戦略プラス・オープン（為替ヘッジなし）,JP90C000F5D8
4515,パインブリッジ米国ライジングスター好利回り債券ファンド２０１７−０８（為替ヘッジあり・早期償還条項付）,JP90C000F5E6
4516,サイバーセキュリティ株式オープン（為替ヘッジあり）,JP90C000F5L1
4517,サイバーセキュリティ株式オープン（為替ヘッジなし）,JP90C000F5M9
4518,米国国債７−１０年ラダーファンド（為替ヘッジあり）（ラップ向け）,JP90C000F5N7
4519,ショートデュレーション円インカムオープン（ラップ向け）,JP90C000F5P2
4520,ワールド・バリュー・アロケーション　Ａコース（為替ヘッジあり）（野村ＳＭＡ・ＥＷ向け）,JP90C000F5S6
4521,ワールド・バリュー・アロケーション　Ｂコース（為替ヘッジなし）（野村ＳＭＡ・ＥＷ向け）,JP90C000F5T4
4522,ｉＴｒｕｓｔ　プレミアム・ブランド,JP90C000F5Z1
4523,ピクテ・セキュリティ・ファンド（為替ヘッジあり）,JP90C000F617
4524,オーストラリア好利回りバランス・ファンド（毎月決算型）,JP90C000F6H7
4525,オーストラリア好利回りバランス・ファンド（為替ヘッジあり）,JP90C000F6J3
4526,オーストラリア好利回りバランス・ファンド（為替ヘッジなし）,JP90C000F6K1
4527,ゴールド・ファンド（為替ヘッジあり）,JP90C000F6L9
4528,ゴールド・ファンド（為替ヘッジなし）,JP90C000F6M7
4529,たわらノーロード　バランス（８資産均等型）,JP90C000F7A0
4530,ワールド・ビューティー・オープン（為替ヘッジあり）,JP90C000F7F9
4531,ワールド・ビューティー・オープン（為替ヘッジなし）,JP90C000F7G7
4532,ｅＭＡＸＩＳ　Ｓｌｉｍ　新興国株式インデックス,JP90C000F7H5
4533,あおぞら・新グローバル分散ファンド（限定追加型）２０１７−０９,JP90C000F7P8
4534,ほくよう資産形成応援ファンド,JP90C000F7S2
4535,ラッセル・インベストメントＤＣ国内債券Ｆ（運用会社厳選型）,JP90C000F807
4536,ラッセル・インベストメントＤＣ外国債券Ｆ（運用会社厳選型）,JP90C000F815
4537,ＳＢＩ・ジャパン・アドバンテージ・ファンド（適格機関投資家専用）,JP90C000F831
4538,ＳＭＴ　世界経済インデックス・オープン,JP90C000F8D2
4539,つみたて日本株式（ＴＯＰＩＸ）,JP90C000F8E0
4540,つみたて先進国株式,JP90C000F8F7
4541,つみたて新興国株式,JP90C000F8G5
4542,つみたて８資産均等バランス,JP90C000F8H3
4543,オーストラリア・高配当株ファンド（年１回決算型）,JP90C000F8J9
4544,ＳＭＴ　世界経済インデックス・オープン（株式シフト型）,JP90C000F8K7
4545,ＳＭＴ　世界経済インデックス・オープン（債券シフト型）,JP90C000F8L5
4546,つみたて日本株式（日経平均）,JP90C000F8M3
4547,つみたて先進国株式（為替ヘッジあり）,JP90C000F8N1
4548,つみたて４資産均等バランス,JP90C000F8P6
4549,ＳＭＴ　８資産インデックスバランス・オープン,JP90C000F8Q4
4550,ロシア・ボンド・オープン（毎月決算型）,JP90C000F8V4
4551,ロシア・ボンド・オープン（年１回決算型）,JP90C000F8W2
4552,野村ＰＩＭＣＯ米国投資適格債券戦略ファンド（為替ヘッジあり）年２回決算型,JP90C000F8Y8
4553,野村ＰＩＭＣＯ米国投資適格債券戦略ファンド（為替ヘッジあり）毎月分配型,JP90C000F8Z5
4554,スパークス・厳選投資ファンド（野村ＳＭＡ・ＥＷ向け）,JP90C000F971
4555,Ｓｍａｒｔ−ｉ　国内債券インデックス,JP90C000F9D0
4556,Ｓｍａｒｔ−ｉ　ＴＯＰＩＸインデックス,JP90C000F9E8
4557,Ｓｍａｒｔ−ｉ　先進国債券インデックス（為替ヘッジあり）,JP90C000F9F5
4558,Ｓｍａｒｔ−ｉ　先進国株式インデックス,JP90C000F9G3
4559,Ｓｍａｒｔ−ｉ　先進国リートインデックス,JP90C000F9H1
4560,Ｓｍａｒｔ−ｉ　新興国株式インデックス,JP90C000F9K5
4561,Ｓｍａｒｔ−ｉ　Ｊリートインデックス,JP90C000F9L3
4562,Ｓｍａｒｔ−ｉ　日経２２５インデックス,JP90C000F9M1
4563,Ｓｍａｒｔ−ｉ　先進国債券インデックス（為替ヘッジなし）,JP90C000F9N9
4564,豪ドル年１回決算型ファンド,JP90C000F9Q2
4565,ＪＰ４資産バランスファンド（ＤＣ）,JP90C000F9R0
4566,ＪＰ日米バランスファンド（ＤＣ）,JP90C000F9S8
4567,いちよし・インベスコ　世界中小型成長株ファンド,JP90C000F9Y6
4568,野村ＰＩＭＣＯ・世界インカム戦略ファンド　Ｂコース（野村ＳＭＡ・ＥＷ向け）,JP90C000F9Z3
4569,野村ＰＩＭＣＯ・世界インカム戦略ファンド　Ａコース（野村ＳＭＡ・ＥＷ向け）,JP90C000FA04
4570,野村世界６資産分散投信（ＤＣ）成長コース,JP90C000FA20
4571,野村資産設計ファンド（ＤＣ・つみたてＮＩＳＡ）２０３０,JP90C000FA38
4572,野村資産設計ファンド（ＤＣ・つみたてＮＩＳＡ）２０４０,JP90C000FA46
4573,野村資産設計ファンド（ＤＣ・つみたてＮＩＳＡ）２０５０,JP90C000FA53
4574,野村世界６資産分散投信（ＤＣ）安定コース,JP90C000FA61
4575,野村世界６資産分散投信（ＤＣ）インカムコース,JP90C000FA79
4576,ダイワＤＢモメンタム戦略ファンド（為替ヘッジあり）,JP90C000FAH8
4577,ダイワＤＢモメンタム戦略ファンド（為替ヘッジなし）,JP90C000FAJ4
4578,フィリピン株式オープン,JP90C000FAK2
4579,世界ｅコマース関連株式オープン,JP90C000FAM8
4580,Ｊリートインデックスファンド（ＤＣ）,JP90C000FAN6
4581,リスク抑制世界８資産バランスファンド（ＤＣ）,JP90C000FAP1
4582,ＡＩ（人工知能）活用型世界株ファンド,JP90C000FB37
4583,ＹＭアセット・オーストラリア好配当資産ファンド（愛称：トリプル維新（リアルオージー））,JP90C000FBC7
4584,厳選ジャパン,JP90C000FBE3
